predicted_domain,document_count,avg_tokens,std_tokens,median_tokens,avg_sentences,avg_characters,avg_banglish_rate,total_tokens
news,1785936,219.9469465871117,182.32984143732648,185,17.896303115005242,1469.5041216482562,0.0229227550881593,392811170
encyclopedia,2192254,269.9598705259518,818.8328174942876,173,21.49276178763957,1791.7974997422743,0.1029875165332755,591820606
education,568100,247.9128762541806,460.7853254023933,171,21.11822214398873,1608.1233374405915,0.0848438564239533,140839305
unknown,770589,385.96204980865286,870.7402907778825,226,36.03632805555231,2420.483528833139,0.0778129366525443,297418110
social,4329989,58.68885994860495,258.8789549786889,24,4.559570936554342,346.45571547641345,0.3787037778202343,254122118
blogs,23372,129.44972616806436,108.47092647677468,99,12.323635118945749,754.6744822864966,0.1332747391626254,3025499
literature,280960,310.8879555808656,642.8445640659736,144,32.55097522779043,1929.536784595672,0.0538450277975114,87347080
